"","ID","site_url","author","headline","language","country","global_rank","US_rank","top1_country","top2_country","top3_country","bounce_rate","daily_pageviews_per_visitor","daily_time_on_site","percentage_search_visits","num_sites_linking_in","gender","educational_level","browsing_location","stumble_upon","pinterest","linkedin","fb_total","fb_comments","fb_reactions","fb_shares","type","sentiment","gop_nlp","email_nlp","comei_nlp","reveal_nlp","comment_nlp","soro_nlp","acknowledg_nlp","emf_nlp","rig_nlp","jihad_nlp","femin_nlp","hillary_nlp","neomasculin_nlp","natur_nlp","weight_nlp","gmo_nlp","trump_nlp","brief_nlp","roi_nlp","tax_nlp"
"1",1,"100percentfedup.com","Barracuda Brigade","muslims busted: they stole millions in govt benefits","english","United States",81378,21025,"United States","Canada","United Kingdom",0.795,1.4,183,0.032,691,"male","some college","home",0,0,83,746,10,34,702,"bias",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2",2,"100percentfedup.com","reasoning with facts","re: why did attorney general loretta lynch plead the fifth?","english","United States",81378,21025,"United States","Canada","United Kingdom",0.795,1.4,183,0.032,691,"male","some college","home",0,0,83,746,10,34,702,"bias",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3",3,"100percentfedup.com","Barracuda Brigade","breaking: weiner cooperating with fbi on hillary email investigation","english","United States",81378,21025,"United States","Canada","United Kingdom",0.795,1.4,183,0.032,691,"male","some college","home",0,0,83,746,10,34,702,"bias",0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"4",4,"100percentfedup.com","Fed Up","pin drop speech by father of daughter kidnapped and killed by isis: ""i have voted for donald j. trump!""  ","english","United States",81378,21025,"United States","Canada","United Kingdom",0.795,1.4,183,0.032,691,"male","some college","home",0,0,83,746,10,34,702,"bias",-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"5",5,"100percentfedup.com","Fed Up","fantastic! trump's 7 point plan to reform healthcare begins with a bombshell!  ","english","United States",81378,21025,"United States","Canada","United Kingdom",0.795,1.4,183,0.032,691,"male","some college","home",0,0,83,746,10,34,702,"bias",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"6",6,"100percentfedup.com","Barracuda Brigade","hillary goes absolutely berserk on protester at rally! (video)","english","United States",81378,21025,"United States","Canada","United Kingdom",0.795,1.4,183,0.032,691,"male","some college","home",0,0,83,746,10,34,702,"bias",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"7",7,"100percentfedup.com","Fed Up","breaking! nypd ready to make arrests in weiner casehillary visited pedophile island at least 6 timesmoney laundering, underage sex, pay-for-play,proof of inappropriate handling classified information  ","english","United States",81378,21025,"United States","Canada","United Kingdom",0.795,1.4,183,0.032,691,"male","some college","home",0,0,83,746,10,34,702,"bias",-3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"8",8,"100percentfedup.com","Fed Up","wow! whistleblower tells chilling story of massive voter fraud: trump campaign readies lawsuit against fl sec of elections in critical district [video]  ","english","United States",81378,21025,"United States","Canada","United Kingdom",0.795,1.4,183,0.032,691,"male","some college","home",0,0,83,746,10,34,702,"bias",-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"9",9,"100percentfedup.com","Fed Up","breaking: clinton cleared...was this a coordinated last minute trick to energize hillary's base?  ","english","United States",81378,21025,"United States","Canada","United Kingdom",0.795,1.4,183,0.032,691,"male","some college","home",0,0,83,746,10,34,702,"bias",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"10",10,"100percentfedup.com","Fed Up","evil hillary supporters yell ""f*ck trump""burn truck of daddy fishing with 2 yr son over of trump bumper-stickers [video]  ","english","United States",81378,21025,"United States","Canada","United Kingdom",0.795,1.4,183,0.032,691,"male","some college","home",0,0,83,746,10,34,702,"bias",-2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
"11",11,"100percentfedup.com","EdJenner","yikes! hillary goes off the railspulls a howard dean [video]","english","United States",81378,21025,"United States","Canada","United Kingdom",0.795,1.4,183,0.032,691,"male","some college","home",0,0,83,746,10,34,702,"bias",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"12",12,"100percentfedup.com","Fed Up","say goodbye! these 23 hollywood celebs threatened to leave the u.s....let's hold them to it!  ","english","United States",81378,21025,"United States","Canada","United Kingdom",0.795,1.4,183,0.032,691,"male","some college","home",0,0,83,746,10,34,702,"bias",-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13",13,"100percentfedup.com","EdJenner","not kidding: colleges give students safe spacesù to cry over trump winthreaten students over pro-trump chalkingsù","english","United States",81378,21025,"United States","Canada","United Kingdom",0.795,1.4,183,0.032,691,"male","some college","home",0,0,83,746,10,34,702,"bias",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"14",14,"100percentfedup.com","Fed Up","boom! math shows trump would have beaten obama in romney-obama election  ","english","United States",81378,21025,"United States","Canada","United Kingdom",0.795,1.4,183,0.032,691,"male","some college","home",0,0,83,746,10,34,702,"bias",-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"15",15,"100percentfedup.com","Fed Up","boom! this is how president reagan handled protesters: ""negotiate? what is there to negotiate?"" [video]  ","english","United States",81378,21025,"United States","Canada","United Kingdom",0.795,1.4,183,0.032,691,"male","some college","home",0,0,83,746,10,34,702,"bias",-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16",16,"100percentfedup.com","EdJenner","trump supporter got nuts on msnbc reporter covering anti-trump rioters [video]","english","United States",81378,21025,"United States","Canada","United Kingdom",0.795,1.4,183,0.032,691,"male","some college","home",0,0,83,746,10,34,702,"bias",-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"17",17,"100percentfedup.com","Fed Up","tomi lahren has special message for celebrities who said they'd move to canada if trump won [video]  ","english","United States",81378,21025,"United States","Canada","United Kingdom",0.795,1.4,183,0.032,691,"male","some college","home",0,0,83,746,10,34,702,"bias",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
